Iteration,Discriminator Loss,Generator Loss
9530,1.223009,0.691107
9540,1.309578,0.811110
9550,1.226355,0.608028
9560,1.290815,0.696255
9570,1.283168,0.697128
9580,1.213655,0.723610
9590,1.256319,0.729803
9600,1.314518,0.726570
9610,1.400682,0.984487
9620,1.240417,0.779100
9630,0.975641,0.658174
9640,1.288526,0.892416
9650,1.234341,0.537103
9660,1.153642,0.693505
9670,1.351775,0.587186
9680,1.300559,0.752771
9690,1.345811,0.778624
9700,1.285521,0.766094
9710,1.333680,0.655727
9720,1.311846,0.592177
9730,1.323593,0.554319
9740,1.187223,0.769890
9750,1.271403,0.756169
9760,1.338154,0.730392
9770,1.178043,0.733853
9780,1.440649,1.017746
9790,1.242437,0.785330
9800,1.189837,0.754319
9810,1.489778,1.002638
9820,1.249771,0.680568
9830,1.271646,0.779994
9840,1.339822,0.734756
9850,1.303371,0.915323
9860,1.213895,0.542480
9870,1.290708,0.859078
9880,1.210424,0.910443
9890,1.131575,0.673665
9900,1.307392,0.762576
9910,1.247913,0.599470
9920,1.314672,0.669001
9930,1.381176,0.921431
9940,1.258811,0.822508
9950,1.293609,0.783869
9960,1.153679,0.551240
9970,1.190833,0.583943
9980,1.297170,0.874836
9990,1.205249,0.708743
10000,1.205088,0.799120
